Date et heure,Production Photovolta�que (W),Consumption,Puissance autoconsommée (W),Puissance inject�e (W),Puissance soutir�e (W)
21/01 09:00,269.94,753.11,269.94,0,483.17
21/01 10:00,187.61,759.02,187.61,0,571.41
21/01 11:00,215.15,813.76,215.15,0,598.61
21/01 12:00,44.15,802.92,44.15,0,758.77
21/01 13:00,97.23,756.95,97.23,0,659.72
21/01 14:00,42.51,690.9,42.51,0,648.39
21/01 15:00,13.45,644.14,13.45,0,630.69
21/01 16:00,0,655.32,0,0,655.32
21/01 17:00,0,755.67,0,0,755.67
21/01 18:00,0,901.98,0,0,901.98
21/01 19:00,0,944.26,0,0,944.26
21/01 20:00,0,883.01,0,0,883.01
21/01 21:00,0,748.02,0,0,748.02
21/01 22:00,0,644.63,0,0,644.63
21/01 23:00,0,533.38,0,0,533.38
22/01 00:00,0,462.37,0,0,462.37
22/01 01:00,0,415.56,0,0,415.56
22/01 02:00,0,376.99,0,0,376.99
22/01 03:00,0,364.29,0,0,364.29
22/01 04:00,0,373.38,0,0,373.38
22/01 05:00,0,382.59,0,0,382.59
22/01 06:00,0,407.49,0,0,407.49
22/01 07:00,0,508.53,0,0,508.53
22/01 08:00,69.67,673.19,69.67,0,603.52
22/01 09:00,48.63,799.62,48.63,0,750.99
22/01 10:00,97.79,899.19,97.79,0,801.4
22/01 11:00,358.11,956.06,358.11,0,597.95
22/01 12:00,184.55,879.75,184.55,0,695.2
22/01 13:00,347.43,782.3,347.43,0,434.87
22/01 14:00,377.33,713.26,377.33,0,335.93
22/01 15:00,160.91,660.35,160.91,0,499.44
22/01 16:00,0,674.19,0,0,674.19
22/01 17:00,0,775.24,0,0,775.24
22/01 18:00,0,927.73,0,0,927.73
22/01 19:00,0,971.05,0,0,971.05
22/01 20:00,0,915.99,0,0,915.99
22/01 21:00,0,757.93,0,0,757.93
22/01 22:00,0,629.67,0,0,629.67
22/01 23:00,0,504,0,0,504
23/01 00:00,0,407.07,0,0,407.07
23/01 01:00,0,361.11,0,0,361.11
23/01 02:00,0,339.45,0,0,339.45
23/01 03:00,0,343.16,0,0,343.16
23/01 04:00,0,364.04,0,0,364.04
23/01 05:00,0,408.45,0,0,408.45
23/01 06:00,0,528.98,0,0,528.98
23/01 07:00,0,664.05,0,0,664.05
23/01 08:00,112.86,715.41,112.86,0,602.55
23/01 09:00,256.52,732.87,256.52,0,476.35
23/01 10:00,261.09,730.11,261.09,0,469.02
23/01 11:00,414.43,754.08,414.43,0,339.65
23/01 12:00,619.93,703.95,619.93,0,84.02
23/01 13:00,551.18,653.99,551.18,0,102.81
23/01 14:00,174.11,583.26,174.11,0,409.15
23/01 15:00,105.28,566.55,105.28,0,461.27
23/01 16:00,0,598.75,0,0,598.75
23/01 17:00,0,735.66,0,0,735.66
23/01 18:00,0,936.63,0,0,936.63
23/01 19:00,0,983.38,0,0,983.38
23/01 20:00,0,918.09,0,0,918.09
23/01 21:00,0,748.67,0,0,748.67
23/01 22:00,0,596.42,0,0,596.42
23/01 23:00,0,475.7,0,0,475.7
24/01 00:00,0,394.95,0,0,394.95
24/01 01:00,0,357.09,0,0,357.09
24/01 02:00,0,338.15,0,0,338.15
24/01 03:00,0,342.93,0,0,342.93
24/01 04:00,0,362.6,0,0,362.6
24/01 05:00,0,405.07,0,0,405.07
24/01 06:00,0,524.02,0,0,524.02
24/01 07:00,0,651.6,0,0,651.6
24/01 08:00,74.44,681.1,74.44,0,606.66
24/01 09:00,265.77,660.25,265.77,0,394.48
24/01 10:00,173.16,656.95,173.16,0,483.79
24/01 11:00,460.1,697.48,460.1,0,237.38
24/01 12:00,327.32,670.65,327.32,0,343.33
24/01 13:00,285.13,610.89,285.13,0,325.76
24/01 14:00,185.27,547.84,185.27,0,362.57
24/01 15:00,124.1,533.84,124.1,0,409.74
24/01 16:00,0,573.19,0,0,573.19
24/01 17:00,0,706.72,0,0,706.72
24/01 18:00,0,894.06,0,0,894.06
24/01 19:00,0,959.34,0,0,959.34
24/01 20:00,0,901.21,0,0,901.21
24/01 21:00,0,751.13,0,0,751.13
24/01 22:00,0,610.44,0,0,610.44
24/01 23:00,0,476.75,0,0,476.75
25/01 00:00,0,397.75,0,0,397.75
25/01 01:00,0,363.49,0,0,363.49
25/01 02:00,0,343.36,0,0,343.36
25/01 03:00,0,340.18,0,0,340.18
25/01 04:00,0,358.68,0,0,358.68
25/01 05:00,0,404.66,0,0,404.66
25/01 06:00,0,515.25,0,0,515.25
25/01 07:00,0,627.2,0,0,627.2
25/01 08:00,87.57,666.27,87.57,0,578.7
25/01 09:00,144.81,659.95,144.81,0,515.14
25/01 10:00,142.1,651.25,142.1,0,509.15
25/01 11:00,135.64,716.75,135.64,0,581.11
25/01 12:00,197.55,680.54,197.55,0,482.99
25/01 13:00,234,636.83,234,0,402.83
