Date,ProdPV,Consumption,Autoconsumed_power,Injected_power,Extracted_power
17/01 00:00,0,190.28,0,0,190.28
17/01 01:00,0,172.27,0,0,172.27
17/01 02:00,0,163.47,0,0,163.47
17/01 03:00,0,164.84,0,0,164.84
17/01 04:00,0,175.36,0,0,175.36
17/01 05:00,0,195.98,0,0,195.98
17/01 06:00,0,254,0,0,254
17/01 07:00,0,316.13,0,0,316.13
17/01 08:00,170.85,342.44,183.39,0,159.05
17/01 09:00,399.54,315.99,315.99,83.55,0
17/01 10:00,522.95,315.26,315.26,207.69,0
17/01 11:00,635.67,337.53,337.53,298.14,0
17/01 12:00,662.45,321.39,321.39,341.06,0
17/01 13:00,642.3,293.5,293.5,348.8,0
17/01 14:00,528.36,264.96,264.96,263.4,0
17/01 15:00,342.29,258.69,258.69,83.6,0
17/01 16:00,82.47,480.73,281.6,0,199.13
17/01 17:00,0,695.68,347.84,0,347.84
17/01 18:00,0,870.84,435.42,0,435.42
17/01 19:00,0,533.79,69.11,0,464.68
17/01 20:00,0,434.76,0,0,434.76
17/01 21:00,0,362.62,0,0,362.62
17/01 22:00,0,294.43,0,0,294.43
17/01 23:00,0,229.1,0,0,229.1
18/01 00:00,0,192.83,0,0,192.83
18/01 01:00,0,175.22,0,0,175.22
18/01 02:00,0,165.52,0,0,165.52
18/01 03:00,0,165.01,0,0,165.01
18/01 04:00,0,174.87,0,0,174.87
18/01 05:00,0,196.27,0,0,196.27
18/01 06:00,0,250.03,0,0,250.03
18/01 07:00,0,307.28,0,0,307.28
18/01 08:00,133.5,366.4,173.98,0,192.42
18/01 09:00,139.73,495.9,317.81,0,178.08
18/01 10:00,179.08,451,315.04,0,135.96
18/01 11:00,103.8,589.83,346.82,0,243.02
18/01 12:00,126.48,537.19,331.83,0,205.35
18/01 13:00,40.74,578.96,309.85,0,269.11
18/01 14:00,184.22,372.65,278.43,0,94.21
18/01 15:00,62.33,473.5,267.92,0,205.59
18/01 16:00,8.87,559.13,284,0,275.13
18/01 17:00,0,687.34,343.67,0,343.67
18/01 18:00,0,875.21,437.61,0,437.61
18/01 19:00,0,471.62,0.94,0,470.69
18/01 20:00,0,445.13,0,0,445.13
18/01 21:00,0,371.79,0,0,371.79
18/01 22:00,0,301.23,0,0,301.23
18/01 23:00,0,238.14,0,0,238.14
19/01 00:00,0,197.15,0,0,197.15
19/01 01:00,0,177.03,0,0,177.03
19/01 02:00,0,167.48,0,0,167.48
19/01 03:00,0,167.18,0,0,167.18
19/01 04:00,0,178.84,0,0,178.84
19/01 05:00,0,199.9,0,0,199.9
19/01 06:00,0,263.09,0,0,263.09
19/01 07:00,0,326.99,0,0,326.99
19/01 08:00,78.48,283.14,36.73,0,246.41
19/01 09:00,61.59,326.3,83.34,0,242.96
19/01 10:00,99.73,304.18,96.03,0,208.15
19/01 11:00,68.74,375.45,118.86,0,256.59
19/01 12:00,109.18,366.92,157.65,0,209.27
19/01 13:00,106.96,289.57,98.64,0,190.93
19/01 14:00,69.47,294.63,100.01,0,194.62
19/01 15:00,117.62,171.69,36.43,0,135.26
19/01 16:00,5.38,271.17,0,0,271.17
19/01 17:00,0,346.31,0,0,346.31
19/01 18:00,0,442.58,0,0,442.58
19/01 19:00,0,471.3,0,0,471.3
19/01 20:00,0,439.46,0,0,439.46
19/01 21:00,0,368.03,0,0,368.03
